num,id,text,score,polarity,like,comment,shared,date_time,img_src,url
21,3786422314790233,"เอายังไง

เอายังไง

YOUTUBE.COM
Night of the Dead ตอนที่ 6 (พัฒนาโครงการต่อ)
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
Night of the Dead ตอนที่ 6 (พัฒนาโครงการต่อ)",0,neutral,0,0,0,2021-05-15 20:41:29,https://i.ytimg.com/vi/jq0oE1uo4vg/maxresdefault_live.jpg,
22,3785513394881125,"จบแล้วครับ ดีใจที่ได้งัดแงะแทะหมู่บ้านจนไม่น่าจะเหลืออะไรแล้ว5555555555 สนุกมาก เป็นประสบการณ์การเล่น RE ที่สนุกที่สุดเท่าที่เคยเล่นมา ขอบคุณที่ติดตามนะคร้าบบบยย

จบแล้วครับ ดีใจที่ได้งัดแงะแทะหมู่บ้านจนไม่น่าจะเหลืออะไรแล้ว5555555555 สนุกมาก เป็นประสบการณ์การเล่น RE ที่สนุกที่สุดเท่าที่เคยเล่นมา ขอบคุณที่ติดตามนะคร้าบบบยย

YOUTUBE.COM
ลากันตรงนี้ จงมีความสุข - RESIDENT EVIL: VILLAGE - Part 9 (ตอนจบ)
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
ลากันตรงนี้ จงมีความสุข - RESIDENT EVIL: VILLAGE - Part 9 (ตอนจบ)",7.5,positive,0,0,0,2021-05-15 13:37:48,https://i.ytimg.com/vi/16PsSyz5MPc/maxresdefault.jpg,
23,3782578128507985,"ฮายยยยยยยยย เซนนนนนนนนน เบิ๊กกกกกกกกกกกกกกกก

ฮายยยยยยยยย เซนนนนนนนนน เบิ๊กกกกกกกกกกกกกกกก

YOUTUBE.COM
ของหมดจบสิ้น ดิ้นรนอย่างไร - RESIDENT EVIL: VILLAGE - Part 8
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
ของหมดจบสิ้น ดิ้นรนอย่างไร - RESIDENT EVIL: VILLAGE - Part 8",1.5,positive,0,0,0,2021-05-14 13:23:24,https://i.ytimg.com/vi/T4ERw14Y71g/maxresdefault.jpg,
24,3779535345478930,"พาร์ทนี้ยิงเยอะยิงยับมาก ระวังหูดับนะคร้าบบบบ

พาร์ทนี้ยิงเยอะยิงยับมาก ระวังหูดับนะคร้าบบบบ

YOUTUBE.COM
ขอเพชรตรงหน้า จากฟ้าสู่ดิน - RESIDENT EVIL: VILLAGE - Part 7
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
ขอเพชรตรงหน้า จากฟ้าสู่ดิน - RESIDENT EVIL: VILLAGE - Part 7",0.0,neutral,0,0,0,2021-05-13 12:04:56,https://i.ytimg.com/vi/9JLb6Rdeh5U/maxresdefault.jpg,
25,3776507902448341,"ถึงจะเป็นบ่อน้ำ แต่ถ้ามีไก่กาปลาแห้งเราขนหมดอยู่ดี

ถึงจะเป็นบ่อน้ำ แต่ถ้ามีไก่กาปลาแห้งเราขนหมดอยู่ดี

YOUTUBE.COM
กี่ตัวก็ไหว ใจแกร่งดั่งหิน - RESIDENT EVIL: VILLAGE - Part 6
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
กี่ตัวก็ไหว ใจแกร่งดั่งหิน - RESIDENT EVIL: VILLAGE - Part 6",0,neutral,0,0,0,2021-05-12 12:06:30,https://i.ytimg.com/vi/Htq9PlTvRjU/maxresdefault.jpg,
26,3773792962719835,"แบนไปหลายคนแล้วนะ อย่าดูถูกไอสอง!
cr. Everything is Cartoon

แบนไปหลายคนแล้วนะ อย่าดูถูกไอสอง!
cr. Everything is Cartoon

",0.0,neutral,0,0,0,2021-05-11 14:47:11,,
27,3773371402761991,"เกมอะไรนะงง นี่มันคนละเกมมมมมมม

เกมอะไรนะงง นี่มันคนละเกมมมมมมม

YOUTUBE.COM
หวาดกลัวจัดเต็ม เกมที่เปลี่ยนไป - RESIDENT EVIL: VILLAGE - Part 5
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
หวาดกลัวจัดเต็ม เกมที่เปลี่ยนไป - RESIDENT EVIL: VILLAGE - Part 5",0.0,neutral,0,0,0,2021-05-11 10:57:56,https://i.ytimg.com/vi/j8bFcXSbewM/maxresdefault.jpg,
28,3770767459689052,"ไปครับ ธุรกิจปล้นบ้านรอเราอยู่

ไปครับ ธุรกิจปล้นบ้านรอเราอยู่

YOUTUBE.COM
หมดสิ้นมลาย ย้ายถิ่นทำกิน - RESIDENT EVIL: VILLAGE - Part 4
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
หมดสิ้นมลาย ย้ายถิ่นทำกิน - RESIDENT EVIL: VILLAGE - Part 4",-1.5,negative,0,0,0,2021-05-10 13:30:41,https://i.ytimg.com/vi/zj5V3qCKcLs/maxresdefault.jpg,
29,3768686146563850,"จะชนะหรือไม่ขึ้นอยู่กับการวางตัว

จะชนะหรือไม่ขึ้นอยู่กับการวางตัว

YOUTUBE.COM
ทีมต่อสู้ที่ลืมลงตัว | Teamfight Tactics
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
ทีมต่อสู้ที่ลืมลงตัว | Teamfight Tactics",0.5,positive,0,0,0,2021-05-09 20:46:43,https://i.ytimg.com/vi/Dn3IJUX8f9w/maxresdefault_live.jpg,
30,3767726216659843,"ภูมิใจนำเสนอมาก ๆ พาร์ทนี้ อย่าลืมมาสนุกกันเยอะ ๆ นะครับ 55555555555

ภูมิใจนำเสนอมาก ๆ พาร์ทนี้ อย่าลืมมาสนุกกันเยอะ ๆ นะครับ 55555555555

YOUTUBE.COM
ว่าผมไม่สด ประชดคุณนาย - RESIDENT EVIL: VILLAGE - Part 3
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
ว่าผมไม่สด ประชดคุณนาย - RESIDENT EVIL: VILLAGE - Part 3",3.0,positive,0,0,0,2021-05-09 13:03:25,https://i.ytimg.com/vi/dwcfWXcujGo/maxresdefault.jpg,
