num,name,price,type,star,sold,send_from,img_src,url,product_id
29,พร้อมส่ง หมูนุ่มนิ่ม Lala Pig หมูชมพูยืดดด หด บีบได้ ของเล่นคลายเครียด หมูแก้เครียด ของเล่นแก้เบื่อ Tiktok,0,ร้านแนะนำ,4.2,9.0,จังหวัดนครศรีธรรมราช,https://cf.shopee.co.th/file/4c36a43cef8487991399bbb4adf2b571_tn,https://shopee.co.th//พร้อมส่ง-หมูนุ่มนิ่ม-Lala-Pig-หมูชมพูยืดดด-หด-บีบได้-ของเล่นคลายเครียด-หมูแก้เครียด-ของเล่นแก้เบื่อ-Tiktok-i.31590376.11615772374?position=28,11615772374
30,เสื้อวิ่ง New Year Run 2019 (Strong Pig),0,general,5.0,10.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/65d8d720a125276fc5e158c3501fbf8d_tn,https://shopee.co.th//เสื้อวิ่ง-New-Year-Run-2019-(Strong-Pig)-i.186519407.9969451489?position=29,9969451489
31,ของเล่นเด็กตุ๊กตา Peppa Pig ขนาด 20-50 ซม.,0,general,5.0,12.0,ต่างประเทศ,https://cf.shopee.co.th/file/8b64945e74eeb01b985e22772860956f_tn,https://shopee.co.th//ของเล่นเด็กตุ๊กตา-Peppa-Pig-ขนาด-20-50-ซม.-i.163079835.9765149614?position=30,9765149614
32,"Versele-Laga Cavia Complete Guinea Pig Food Vitamin C+, 500g. คาเวียคอมพลีท อาหารหนูแกสบี้ หนูตะเภา กินนี่พิก, 500กรัม",0,ร้านแนะนำ,5.0,70.0,จังหวัดอุดรธานี,https://cf.shopee.co.th/file/327ddaa86d713af80b9b04dc0e17630c_tn,https://shopee.co.th//Versele-Laga-Cavia-Complete-Guinea-Pig-Food-Vitamin-C-500g.-คาเวียคอมพลีท-อาหารหนูแกสบี้-หนูตะเภา-กินนี่พิก-500กรัม-i.18875171.5949011919?position=31,5949011919
33,เครื่องชั่งน้ำหนักดิจิตอล รับน้ำหนักได้180kg หมูน่ารัก รุ่นPig-Wink จอLCD,0,ร้านแนะนำ,4.7,113.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/c517f3286cf002886dba37b38342ae08_tn,https://shopee.co.th//เครื่องชั่งน้ำหนักดิจิตอล-รับน้ำหนักได้180kg-หมูน่ารัก-รุ่นPig-Wink-จอLCD-i.146833653.4468241090?position=32,4468241090
34,Peppa Pig หนังสือเขียนแล้วลบได้ Wipe-Clean บอกเวลา Telling the Time เรียนรู้สองภาษา ไทย-อังกฤษ,0,ร้านแนะนำ,4.8333,18.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/8045596166f6f0303cde4443c12f6cdf_tn,https://shopee.co.th//Peppa-Pig-หนังสือเขียนแล้วลบได้-Wipe-Clean-บอกเวลา-Telling-the-Time-เรียนรู้สองภาษา-ไทย-อังกฤษ-i.173337429.4554139750?position=33,4554139750
35,เสื้อยืดเด็ก แขนสั้น ผ้าฝ้าย ระบายอากาศ ลายการ์ตูน Peppa Pig 6 สี,0,ร้านแนะนำ,4.8472,212.0,ต่างประเทศ,https://cf.shopee.co.th/file/02670313ca3e571bd1d2a39945ae840e_tn,https://shopee.co.th//เสื้อยืดเด็ก-แขนสั้น-ผ้าฝ้าย-ระบายอากาศ-ลายการ์ตูน-Peppa-Pig-6-สี-i.250860763.7533529082?position=34,7533529082
36,Ikxrm Pm 2 . 5 หน้ากากกันฝุ่นลายการ์ตูน Peppa Pig สําหรับเด็ก,0,general,5.0,12.0,ต่างประเทศ,no image,https://shopee.co.th//Ikxrm-Pm-2-.-5-หน้ากากกันฝุ่นลายการ์ตูน-Peppa-Pig-สําหรับเด็ก-i.310485751.8536763923?position=35,8536763923
37,Peppa Pig สนุกสนานหน้าร้อน! Summer Fun! หนังสือกิจกรรม+ สติ๊กเกอร์,0,ร้านแนะนำ,4.8333,40.0,จังหวัดกรุงเทพมหานคร,no image,https://shopee.co.th//Peppa-Pig-สนุกสนานหน้าร้อน!-Summer-Fun!-หนังสือกิจกรรม-สติ๊กเกอร์-i.173337429.2779578531?position=36,2779578531
38,Lovely Pink Pig White Cat Airpods Case for Apple Wireless Headphones Protector Soft Cover,0,ร้านแนะนำ,4.7745,187.0,ต่างประเทศ,no image,https://shopee.co.th//Lovely-Pink-Pig-White-Cat-Airpods-Case-for-Apple-Wireless-Headphones-Protector-Soft-Cover-i.146293165.2426884329?position=37,2426884329
39,Pig weighing scale เครื่องชั่งน้ำหนักดิจิตอล ลายหมู กระจกใส แสดงผลหน้าจอLCD,0,ร้านแนะนำ,4.5882,96.0,จังหวัดกรุงเทพมหานคร,no image,https://shopee.co.th//Pig-weighing-scale-เครื่องชั่งน้ำหนักดิจิตอล-ลายหมู-กระจกใส-แสดงผลหน้าจอLCD-i.147312060.6122373340?position=38,6122373340
40,กิ๊บติดผม Peppa Pig แบบหนีบ,0,general,5.0,66.0,จังหวัดกรุงเทพมหานคร,no image,https://shopee.co.th//กิ๊บติดผม-Peppa-Pig-แบบหนีบ-i.5373692.124424810?position=39,124424810
41,Peppa Pig หนังสือสติ๊กเกอร์ STICKERS Activity Book สุดยอด SUPER สุดเจ๋ง COOL สุดสนุก FUN สุดพิเศษ SPECIAL,0,ร้านแนะนำ,5.0,55.0,จังหวัดกรุงเทพมหานคร,no image,https://shopee.co.th//Peppa-Pig-หนังสือสติ๊กเกอร์-STICKERS-Activity-Book-สุดยอด-SUPER-สุดเจ๋ง-COOL-สุดสนุก-FUN-สุดพิเศษ-SPECIAL-i.173337429.6553640832?position=40,6553640832
42,🌈 ซองไปรษณีย์ ลายการ์ตูนหมู Pepper pig สีชมพูน่ารักๆ 🇹🇭พร้อมส่ง🇹🇭,0,ร้านแนะนำ,5.0,63.0,จังหวัดสมุทรสาคร,no image,https://shopee.co.th//🌈-ซองไปรษณีย์-ลายการ์ตูนหมู-Pepper-pig-สีชมพูน่ารักๆ-🇹🇭พร้อมส่ง🇹🇭-i.179937128.5641027147?position=41,5641027147
43,Hyntoor Pig Pig ปัดแก้มเนื้อครีม,0,ร้านแนะนำ,5.0,22.0,จังหวัดกรุงเทพมหานคร,no image,https://shopee.co.th//Hyntoor-Pig-Pig-ปัดแก้มเนื้อครีม-i.903462.2643231709?position=42,2643231709
44,Mild Care ผ้าปูที่นอน กันน้ำ กันไรฝุ่น กันฉี่ กันเปื้อน 176 Mengmeng pig,0,ร้านแนะนำ,4.9333,32.0,จังหวัดเชียงราย,no image,https://shopee.co.th//Mild-Care-ผ้าปูที่นอน-กันน้ำ-กันไรฝุ่น-กันฉี่-กันเปื้อน-176-Mengmeng-pig-i.27838875.1494321823?position=43,1494321823
45,ถาดหลุม ชาม ช้อนส้อม Peppa Pig เมลามีนแท้100% ทรงลึกใส่น้ำซุปไม่หก​,0,ร้านแนะนำ,4.875,90.0,จังหวัดกรุงเทพมหานคร,no image,https://shopee.co.th//ถาดหลุม-ชาม-ช้อนส้อม-Peppa-Pig-เมลามีนแท้100-ทรงลึกใส่น้ำซุปไม่หก​-i.1878980.694644551?position=44,694644551
