num,name,price,type,star,sold,send_from,img_src,url,product_id
24,(🌼แท้ /พร้อมส่ง 🌼) RAIP R2 Liquid Silk Keratin Treatment 250ml ทรีทเม้นท์บำรุงผมเกาหลี,0,ร้านแนะนำ,4.9161,1100.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/31cad35792927f91f5713b1dbdedb71b_tn,https://shopee.co.th//(🌼แท้-พร้อมส่ง-🌼)-RAIP-R2-Liquid-Silk-Keratin-Treatment-250ml-ทรีทเม้นท์บำรุงผมเกาหลี-i.77264.3279380891?position=23,3279380891
25,น้ำยาเคลือบคอนโซล - Chemical Guys Silk Shine Dressing,0,ร้านแนะนำ,4.9086,2800.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/776fb5ba20a0c4f29e53819ab3b40132_tn,https://shopee.co.th//น้ำยาเคลือบคอนโซล-Chemical-Guys-Silk-Shine-Dressing-i.50348497.1087768000?position=24,1087768000
26,พร้อมส่ง cotton/oat/silk/fawn🧤✨Hourglass Vanish Airbrush Concealer 6ml,0,ร้านแนะนำ,4.9231,58.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/86d03bcf1278e3cd1d4cdd5dffe029f8_tn,https://shopee.co.th//พร้อมส่ง-cotton-oat-silk-fawn🧤✨Hourglass-Vanish-Airbrush-Concealer-6ml-i.7868794.4764815200?position=25,4764815200
27,เคส OPPO A77 A73 A79 A83 A91 A92S Silk Pattern Shock Proof TPU เคสซิลิโคน สำหรับ OPPO A91 เคส เคสซิลิโคน และ ฟิล์มกระจกนิรภัย,0,ร้านแนะนำ,4.0588,41.0,ต่างประเทศ,https://cf.shopee.co.th/file/626693f9327d1f267408202aa4bdcd28_tn,https://shopee.co.th//เคส-OPPO-A77-A73-A79-A83-A91-A92S-Silk-Pattern-Shock-Proof-TPU-เคสซิลิโคน-สำหรับ-OPPO-A91-เคส-เคสซิลิโคน-และ-ฟิล์มกระจกนิรภัย-i.117987402.4165019066?position=26,4165019066
28,002เกาะอกตะขอหลัง ผ้า ice silk ฟองน้ำถอดได้ ผ้าดี ใสสบาย,0,ร้านแนะนำ,4.4085,12100.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/c7201b2765cfddf28d84723a5dd37f67_tn,https://shopee.co.th//002เกาะอกตะขอหลัง-ผ้า-ice-silk-ฟองน้ำถอดได้-ผ้าดี-ใสสบาย-i.66999752.1366922145?position=27,1366922145
29,(แพ็ค 1ชิ้น)veet silk&fresh 50g วีทครีมกำจัดขน 50กรัม มีให้เลือก 2สูตร,0,ร้านแนะนำ,4.8,32.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/1dc2105484dacc37194d287a361ea768_tn,https://shopee.co.th//(แพ็ค-1ชิ้น)veet-silk-fresh-50g-วีทครีมกำจัดขน-50กรัม-มีให้เลือก-2สูตร-i.273480621.4248078146?position=28,4248078146
30,หน้ากากผ้าสะท้อนน้ำ Cotton Silk ทรง 3D มี Stopper ปรับระดับ มีลวดกระชับจมูกถอดได้ ซักใช้ซ้ำได้,0,general,4.8333,38.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/b386d0170352447554a4b1fbb9a29f7e_tn,https://shopee.co.th//หน้ากากผ้าสะท้อนน้ำ-Cotton-Silk-ทรง-3D-มี-Stopper-ปรับระดับ-มีลวดกระชับจมูกถอดได้-ซักใช้ซ้ำได้-i.17209772.3990943897?position=29,3990943897
31,ยางรัดผมผ้าไหมมัลเบอร์รี่ mulberry silk Atlizsilk tiny 22mm scrunchies,0,ร้านแนะนำ,4.8889,21.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/b3e0a90a253e96d1f02fe321984b91ea_tn,https://shopee.co.th//ยางรัดผมผ้าไหมมัลเบอร์รี่-mulberry-silk-Atlizsilk-tiny-22mm-scrunchies-i.12829467.6287958510?position=30,6287958510
32,COZY ปลอกหมอน ไหมซาติน 1000เส้นด้าย. #ลดรอยเหี่ยวย่น #ปลอกหมอนบอดี้ Slip silk,0,ร้านแนะนำ,4.8554,904.0,จังหวัดภูเก็ต,https://cf.shopee.co.th/file/5d19f599ec79d2ddb27161fa3baff058_tn,https://shopee.co.th//COZY-ปลอกหมอน-ไหมซาติน-1000เส้นด้าย.-ลดรอยเหี่ยวย่น-ปลอกหมอนบอดี้-Slip-silk-i.9822534.367158801?position=31,367158801
33,รีฟีล CHO MICRO SILK ANTI-AGING POWDER 12g  โช รีฟิล แป้งโช,0,general,4.8387,67.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/f3544719256376cfbf2646ec8198f86b_tn,https://shopee.co.th//รีฟีล-CHO-MICRO-SILK-ANTI-AGING-POWDER-12g-โช-รีฟิล-แป้งโช-i.45524470.4857060637?position=32,4857060637
34,(หอมหรูดูมีสไตล์)Enchanteur Perfumed Body Lotion Moisture Silk / โลชั่นน้ำหอมเอนแชนเทอร์,0,ร้านแนะนำ,4.7833,181.0,จังหวัดบุรีรัมย์,https://cf.shopee.co.th/file/ba22445cf68de5c677dc28c816bb98c5_tn,https://shopee.co.th//(หอมหรูดูมีสไตล์)Enchanteur-Perfumed-Body-Lotion-Moisture-Silk-โลชั่นน้ำหอมเอนแชนเทอร์-i.65392642.2864572583?position=33,2864572583
35,พร้อมส่ง ริบบิ้นผ้าไหมคริสตัลซาติน (crystal silk satin ribbon )ขนาด 3.8 ซม.,0,ร้านแนะนำ,5.0,49.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/4d623329448debbd292f43a46d3e3bc5_tn,https://shopee.co.th//พร้อมส่ง-ริบบิ้นผ้าไหมคริสตัลซาติน-(crystal-silk-satin-ribbon-)ขนาด-3.8-ซม.-i.60758274.9038856265?position=34,9038856265
36,ค่าส่ง20฿ทั่วไทย !! แบ่งขายรุ่นออร่า ARMANI LUMINOUS SILK FOUNDATION,0,ร้านแนะนำ,4.919,449.0,จังหวัดชลบุรี,https://cf.shopee.co.th/file/09c49a283241e4cd8baf2bbfe4e31c0e_tn,https://shopee.co.th//ค่าส่ง20฿ทั่วไทย-!!-แบ่งขายรุ่นออร่า-ARMANI-LUMINOUS-SILK-FOUNDATION-i.1544386.1721048667?position=35,1721048667
37,ไหมพรม เบบี้ซิลค์ Baby Silk (พร้อมส่ง)  ชุดที่ 1 สำหรับโครเชต์ นิตติ้ง,0,ร้านแนะนำ,4.9141,4400.0,จังหวัดเชียงราย,https://cf.shopee.co.th/file/ae6820db8edf3d13818918e950dde449_tn,https://shopee.co.th//ไหมพรม-เบบี้ซิลค์-Baby-Silk-(พร้อมส่ง)-ชุดที่-1-สำหรับโครเชต์-นิตติ้ง-i.174819355.4828207408?position=36,4828207408
38,AIRslim ถุงเท้าผู้หญิง (4คู่)(Ice Silk Fiber&Terry Cotton) บางเบา เย็นสบาย นุ่มนวล ยืดหยุ่นสูง ระบายอากาศ ยับยั้งกลิ่น,0,ร้านแนะนำ,4.7838,167.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/f32fd3408c4cd9696ac59d2b29e1070e_tn,https://shopee.co.th//AIRslim-ถุงเท้าผู้หญิง-(4คู่)(Ice-Silk-Fiber-Terry-Cotton)-บางเบา-เย็นสบาย-นุ่มนวล-ยืดหยุ่นสูง-ระบายอากาศ-ยับยั้งกลิ่น-i.165446574.7848465777?position=37,7848465777
39,(ของแท้100%) Slip silk 🇺🇸 ยางมัดผม *สีใหม่เข้าแล้ว🎉* ยางรัดผม รัดผม Slipsilk Slip (แบ่งขาย1เส้น),0,general,4.9011,998.0,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/ea5ac0d3be30fad27b5bd8b77d8ad1fa_tn,https://shopee.co.th//(ของแท้100-)-Slip-silk-🇺🇸-ยางมัดผม-*สีใหม่เข้าแล้ว🎉*-ยางรัดผม-รัดผม-Slipsilk-Slip-(แบ่งขาย1เส้น)-i.20493963.3478612896?position=38,3478612896
