num,id,name,price,rating,review,rank,img_src,url
83,B07VBLVZGT,Yakisoba Spicy Chicken Flavor ( New Version ),$19.87,4.6 out of 5 stars,"2,797",not be a best,https://m.media-amazon.com/images/I/61At9tp+OaL._AC_UL320_.jpg,https://www.amazon.com//Yakisoba-Spicy-Chicken-Flavor-Version/dp/B07VBLVZGT/ref=sr_1_38?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-38
84,B01NBSVK0G,Maruchan Ramen Chicken Flavor Noddle Soup 12 Pack (1),$7.95,4.6 out of 5 stars,"2,526",not be a best,https://m.media-amazon.com/images/I/71tnIq3OEsL._AC_UL320_.jpg,https://www.amazon.com//Maruchan-Ramen-Chicken-Flavor-Noddle/dp/B01NBSVK0G/ref=sr_1_39?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-39
85,B019YHTJGA,"SWEET SUE Chunk White Chicken in Water, High Protein Food, Keto Food and Snacks, Gluten Free Food, High Protein Snacks, Bulk Canned Food, 5 Ounce Cans (Pack of 24)",out of stock,4.5 out of 5 stars,874,not be a best,https://m.media-amazon.com/images/I/51RaORk89nL._AC_UL320_.jpg,https://www.amazon.com//Chicken-Protein-Snacks-Gluten-Canned/dp/B019YHTJGA/ref=sr_1_40?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-40
86,B00IB1FCX0,"Maruchan, Yakisoba, Spicy Chicken Noodles (PACK OF 16)",$35.99,4.8 out of 5 stars,57,not be a best,https://m.media-amazon.com/images/I/51Wq3jhkiCL._AC_UL320_.jpg,https://www.amazon.com//Maruchan-Yakisoba-Spicy-Chicken-Noodles/dp/B00IB1FCX0/ref=sr_1_41?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-41
87,B000V17MLS,"Kitchens of India Paste, Butter Chicken Curry, 3.5-Ounces, Pack of 1 (6 count)",$14.63,4.7 out of 5 stars,"2,054",not be a best,https://m.media-amazon.com/images/I/81o0-keOCVL._AC_UL320_.jpg,https://www.amazon.com//Kitchens-India-Butter-Chicken-3-5-Ounces/dp/B000V17MLS/ref=sr_1_42?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-42
88,B0725M6SFK,Traeger Pellet Grills SPC170 Chicken Rub with Citrus and Black Pepper,$9.99,4.7 out of 5 stars,"11,831",Best Seller,https://m.media-amazon.com/images/I/714Bzp86XES._AC_UL320_.jpg,https://www.amazon.com//Traeger-Grills-SPC170-Chicken-Seasoning/dp/B0725M6SFK/ref=sr_1_43?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-43
89,B0077DMWO0,Hormel Herb Ox Chicken Bouillon Sodium Free 50 Packets,$14.99,4.7 out of 5 stars,"2,268",not be a best,https://m.media-amazon.com/images/I/91gn4wBbPAL._AC_UL320_.jpg,https://www.amazon.com//Hormel-Chicken-Bouillon-Sodium-Packets/dp/B0077DMWO0/ref=sr_1_44?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-44
90,B00XYUJ950,Minor's (Original Formula) Chicken Base - 16 Oz. (Pack of 2),out of stock,4.8 out of 5 stars,602,not be a best,https://m.media-amazon.com/images/I/61VBHlJraaL._AC_UL320_.jpg,https://www.amazon.com//Minors-Original-Formula-Chicken-Base/dp/B00XYUJ950/ref=sr_1_45?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-45
91,B019I6AX9Y,"Kitchen Accomplice Reduced Sodium Chicken Broth Concentrate, 12 Ounce",out of stock,4.6 out of 5 stars,"2,898",not be a best,https://m.media-amazon.com/images/I/61MiMYbyswL._AC_UL320_.jpg,https://www.amazon.com//Kitchen-Accomplice-Reduced-Chicken-Concentrate/dp/B019I6AX9Y/ref=sr_1_46?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-46
92,B07RF9P7VV,Chicken,$0.99,2.9 out of 5 stars,6,not be a best,https://m.media-amazon.com/images/I/71Igo1EutOL._AC_UL320_.jpg,https://www.amazon.com//Chicken-Eva-Tausig/dp/B07RF9P7VV/ref=sr_1_47?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854982&sprefix=ch%2Caps%2C415&sr=8-47
