num,name,price,type,sold,from,img_src,url
11,Tyson ไก่ป๊อปคอร์น รสฮอตแอนด์สไปซี่ Hot&Spicy chicken popcorn 500 g,฿134,shopee mall,ขายแล้ว 553 ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/9fa317ae334db2501f1656af1b5ac9bd_tn,https://shopee.co.th//Tyson-ไก่ป๊อปคอร์น-รสฮอตแอนด์สไปซี่-Hot-Spicy-chicken-popcorn-500-g-i.242496057.7633603847
12,ไก่บิ๊กป๊อบ รส Hot & Spicy ขนาด 1 กก. (60-65 ชิ้น),฿150 - ฿165,ร้านแนะนำ,ขายแล้ว 100 ชิ้น,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/3a9df0061a6081edfe1a690a374f2020_tn,https://shopee.co.th//ไก่บิ๊กป๊อบ-รส-Hot-Spicy-ขนาด-1-กก.-(60-65-ชิ้น)-i.35173471.3942966772
13,🐔 ไก่ลืมผัว ไกสวรรค์ หอม นุ่ม อร่อย ได้กินคำเดียวลืมผัวที่มีไปเลย by หมูอินเตอร์,฿29 - ฿69,general,ขายแล้ว 23 ชิ้น,จังหวัดลำพูน,https://cf.shopee.co.th/file/5feb14cfb94449183177a730ab80ac1b_tn,https://shopee.co.th//🐔-ไก่ลืมผัว-ไกสวรรค์-หอม-นุ่ม-อร่อย-ได้กินคำเดียวลืมผัวที่มีไปเลย-by-หมูอินเตอร์-i.403466334.9532159668
14,นิวออร์ลีนส์🍗ผงหมักไก่ 4สูตร 🍗นิวออร์ลีนส์ บารบีคิว กระเทียมพริกไทย🍗,฿70 - ฿120,general,ขายแล้ว 543 ชิ้น,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/45ba0b776713db04a29ba73d3c70b6d4_tn,https://shopee.co.th//นิวออร์ลีนส์🍗ผงหมักไก่-4สูตร-🍗นิวออร์ลีนส์-บารบีคิว-กระเทียมพริกไทย🍗-i.37834405.4134595820
15,ไก่ทอด คาราเกะ เกร็ดกร๊อบกรอบ โลละ 109.- ขั้นต่ำ2โล (คละได้ทั้งร้าน),฿109,ร้านแนะนำ,ขายแล้ว 32 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/653e79124744869e7de200dd76460567_tn,https://shopee.co.th//ไก่ทอด-คาราเกะ-เกร็ดกร๊อบกรอบ-โลละ-109.-ขั้นต่ำ2โล-(คละได้ทั้งร้าน)-i.9407203.8337385387
16,เอ็นข้อไก่ฮาล้าลสดขนาด800กรัมพร้อมส่ง,฿166,general,ขายแล้ว 71 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/93c714bd6f212e622413b735354474f2_tn,https://shopee.co.th//เอ็นข้อไก่ฮาล้าลสดขนาด800กรัมพร้อมส่ง-i.19571206.7536314319
17,"สะโพกไก่ทอด (Fried Chicken Thigh) รสชาติออริจินัล/สไปซี่ 1,000กรัม/ถุง",฿130,general,ขายแล้ว 30 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/74d55feaae09b940b8d7c4e05931b720_tn,https://shopee.co.th//สะโพกไก่ทอด-(Fried-Chicken-Thigh)-รสชาติออริจินัล-สไปซี่-1-000กรัม-ถุง-i.353827617.9514593211
18,💋กทม+ปริมณฑล ส่งเช้าเย็นได้💋 ไก่จ้อ 5 ดาว ไก่จ้อห้าดาว ตรา Five star,฿160,ร้านแนะนำ,ขายแล้ว 210 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/385cd8d2591f65c9a35df2c8cc3e8276_tn,https://shopee.co.th//💋กทม-ปริมณฑล-ส่งเช้าเย็นได้💋-ไก่จ้อ-5-ดาว-ไก่จ้อห้าดาว-ตรา-Five-star-i.38444368.7929552707
19,Tyson นักเก็ตไก่ Chicken Nuggets (500 g),฿116,shopee mall,ขายแล้ว 640 ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/eeb8b546457681f65db4b9e744fc0cfa_tn,https://shopee.co.th//Tyson-นักเก็ตไก่-Chicken-Nuggets-(500-g)-i.242496057.7533485014
20,"Surapon Foods - Tendo ไก่ทาเระซูเกะ(Tarezuke Chicken) แพ็คใหญ่ 1,000 กรัม/แพ็ค",฿179,shopee mall,ขายแล้ว 30 ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/0771c0b68b7a78be7f0e6a3f359e5315_tn,https://shopee.co.th//Surapon-Foods-Tendo-ไก่ทาเระซูเกะ(Tarezuke-Chicken)-แพ็คใหญ่-1-000-กรัม-แพ็ค-i.85246884.6651745743
