num,name,price,type,star,sold,from,img_src,url
28,กระเทียมโทนดองน้ำผึ้ง ร้านแม่ฮุ้น ไชโป้วเจ็ดเสมียน 150 กรัม,฿70,general,4.5484,87.0,จังหวัดราชบุรี,https://cf.shopee.co.th/file/b95d9036a5a04c72883f1e83952d0305_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-ร้านแม่ฮุ้น-ไชโป้วเจ็ดเสมียน-150-กรัม-i.132747960.2280531404
29,กระเทียมดอง 200 กรัม ตราสมาร์ทเชฟ,฿25 - ฿75,general,4.9333,35.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/7be75ba803f3bafb78e394b65c18350b_tn,https://shopee.co.th//กระเทียมดอง-200-กรัม-ตราสมาร์ทเชฟ-i.191695891.5133625749
30,🍄 แม่จินต์ กระเทียมโทนดอง 870 กรัม,฿229,ร้านแนะนำ,4.9655,103.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/9cab308df6d4fa922232b91af981068e_tn,https://shopee.co.th//🍄-แม่จินต์-กระเทียมโทนดอง-870-กรัม-i.2218737.2099113738
31,กระเทียมโทน ดอง 3 รส ตราแม่บุญส่ง ป้องกันโรคหัวใจ ควบคุมไขมันในเส้นเลือด ช่วยรักษาโรคความดัน,฿75,general,4.8462,22.0,จังหวัดราชบุรี,https://cf.shopee.co.th/file/4b17cd34f414363751d8cf47c5b6c532_tn,https://shopee.co.th//กระเทียมโทน-ดอง-3-รส-ตราแม่บุญส่ง-ป้องกันโรคหัวใจ-ควบคุมไขมันในเส้นเลือด-ช่วยรักษาโรคความดัน-i.34541395.4529739352
32,แม่จินต์ กระเทียมโทนดอง ขนาด 350กรัม/ถุง*2,฿195,ร้านแนะนำ,4.5714,9.0,จังหวัดภูเก็ต,https://cf.shopee.co.th/file/ebdb84c8d3defabb4ed07720fa9bc2bf_tn,https://shopee.co.th//แม่จินต์-กระเทียมโทนดอง-ขนาด-350กรัม-ถุง*2-i.78016432.4132559645
33,กระเทียมดอง 900ดรัม ตราแสนผึ้ง,฿89,general,4.8889,41.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/0e8fabccfa4c8ec4b230a2cd3f4cdd29_tn,https://shopee.co.th//กระเทียมดอง-900ดรัม-ตราแสนผึ้ง-i.73984329.2733559070
34,กระเทียมโทนดองน้ำผึ้ง (เกรดB) ขนาด 230 กรัม น้ำหนักรวม 350 กรัม,฿70,ร้านแนะนำ,4.8514,360.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/afd8607676cd98de0ce812ce1e870aba_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-(เกรดB)-ขนาด-230-กรัม-น้ำหนักรวม-350-กรัม-i.54833404.6823362793
35,กระเทียมโทนดองสามรส🌰เม็ดใหญ่ กรอบ อร่อย😋,฿150,general,4.6667,92.0,จังหวัดชลบุรี,https://cf.shopee.co.th/file/7e571fa56ea71a936e2444c4eea06da4_tn,https://shopee.co.th//กระเทียมโทนดองสามรส🌰เม็ดใหญ่-กรอบ-อร่อย😋-i.136914190.2615849877
36,กระเทียมโทนดอง  ร้านโชคชัยของฝาก ขนาด 850 กรัม.,฿120,general,0.0,no sold,จังหวัดยะลา,https://cf.shopee.co.th/file/7ac7481fbff05d0e5610d02e3dbc2129_tn,https://shopee.co.th//กระเทียมโทนดอง-ร้านโชคชัยของฝาก-ขนาด-850-กรัม.-i.431148109.3043291425
37,ปั่นอาหาร กระเทียม พริก ด้วยมือดึง,฿109 - ฿129,general,3.0,3.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/7b0a0b397c1c41c46a7955e23a817c2b_tn,https://shopee.co.th//ปั่นอาหาร-กระเทียม-พริก-ด้วยมือดึง-i.236256261.6077794588
38,เครื่องเเกงใต้เเท้100% 100กรัม รับประกันความอร่อย[ กดติดตามรับส่วนลดเพิ่ม ] (สะอาดถูกหลักอนามัย สดใหม่ทุกวัน),฿15 - ฿20,general,5.0,6.0,จังหวัดภูเก็ต,https://cf.shopee.co.th/file/a7a6ca126b92171e4aa39ac338349c76_tn,https://shopee.co.th//เครื่องเเกงใต้เเท้100-100กรัม-รับประกันความอร่อย-กดติดตามรับส่วนลดเพิ่ม-(สะอาดถูกหลักอนามัย-สดใหม่ทุกวัน)-i.256063904.8026938020
39,ที่สับกระเทียม ที่สับพริก ที่สับหอม เครื่องกดตัดที่หั่นผักที่ปอกกระเทียมแกดเจ็ตสำหรับครัวอุปกรณ์ทำอาหาร,฿134,general,0.0,3.0,จังหวัดระยอง,https://cf.shopee.co.th/file/2a486656b4dd416a0fd01c66a4ac96bd_tn,https://shopee.co.th//ที่สับกระเทียม-ที่สับพริก-ที่สับหอม-เครื่องกดตัดที่หั่นผักที่ปอกกระเทียมแกดเจ็ตสำหรับครัวอุปกรณ์ทำอาหาร-i.126433533.7524244187
40,กระเทียมดำภูเขาไฟ  ศรีษะเกษ,฿238 - ฿750,general,4.6923,31.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/1f22f4bde17d16d22a68b79eaf42d0e2_tn,https://shopee.co.th//กระเทียมดำภูเขาไฟ-ศรีษะเกษ-i.124640151.7149915007
41,ถั่ว-กระเทียมเจียว🍳🥓,฿15,general,5.0,79.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/56be053c25a03770d13c420cae707ee8_tn,https://shopee.co.th//ถั่ว-กระเทียมเจียว🍳🥓-i.206581810.6135949006
42,"กระเทียมดอง(กระปุกใหญ่) 1,800 กรัม ตรามังกร",฿175,ร้านแนะนำ,5.0,317.0,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/5102d87c69be8cb4a1386580a5235ae5_tn,https://shopee.co.th//กระเทียมดอง(กระปุกใหญ่)-1-800-กรัม-ตรามังกร-i.121543142.7223713626
43,กระเทียมดองหัว 350 กรัม (น้ำหนักเนื้อ 200 กรัม) ไร้สารฟอกขาว,฿45,ร้านแนะนำ,4.9222,331.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/27451a3b423ff2fa6037592050856858_tn,https://shopee.co.th//กระเทียมดองหัว-350-กรัม-(น้ำหนักเนื้อ-200-กรัม)-ไร้สารฟอกขาว-i.54833404.1857651151
44,กระเทียมโทนดอง กระเทียมโทนเกรียงไกร,฿100 - ฿120,ร้านแนะนำ,4.9091,35.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/2b4543fa4a5d1a9d368c5e6c12683593_tn,https://shopee.co.th//กระเทียมโทนดอง-กระเทียมโทนเกรียงไกร-i.28090205.7119125918
45,กระเทียมโทนดองน้ำผึ้ง น้ำหนักเนื้อกระเทียม 130 กรัม,฿60,general,4.65,89.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/27da99118aa2963d3552127e6e34ebc8_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-น้ำหนักเนื้อกระเทียม-130-กรัม-i.52096312.3932359116
46,กระเทียมโทนดองสามรส ร้านแม่ฮุ้น ไชโป้วเจ็ดเสมียน 150 กรัม,฿70,general,4.7241,68.0,จังหวัดราชบุรี,https://cf.shopee.co.th/file/043e0296d909b3ebaa7e1fc1d0b2ac5b_tn,https://shopee.co.th//กระเทียมโทนดองสามรส-ร้านแม่ฮุ้น-ไชโป้วเจ็ดเสมียน-150-กรัม-i.132747960.2280544480
47,กระเทียมดองน้ำผึ้งแท้ อย่างดี ของฝากเชียงใหม่,฿220,general,5.0,14.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/1ba04194be1491df5ed44b1f6ec54487_tn,https://shopee.co.th//กระเทียมดองน้ำผึ้งแท้-อย่างดี-ของฝากเชียงใหม่-i.95960309.2828540470
48,กระเทียมโทนดองน้ำผึ้ง น้ำหนักเนื้อ 230 กรัม น่ำหนักรวม 350 กรัม,฿100,ร้านแนะนำ,4.9516,132.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/7420458fafe2f14e9d7031ff9a7ef6b2_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-น้ำหนักเนื้อ-230-กรัม-น่ำหนักรวม-350-กรัม-i.54833404.1597725558
49,กระเทียมโทนดอง ปริมาณ 130 กรัม และ 250 กรัม,฿70 - ฿120,ร้านแนะนำ,4.8571,56.0,จังหวัดสมุทรสงคราม,https://cf.shopee.co.th/file/2a8736809a75deafafaca8077c0be683_tn,https://shopee.co.th//กระเทียมโทนดอง-ปริมาณ-130-กรัม-และ-250-กรัม-i.48265287.1078314846
50,[GM]กระเทียมโทนดองน้ำผึ้งดอกลำใย น้ำหนักเนื้อ 230 กรัม น้ำหนักรวม 600 กรัม ไร้สารฟอกขาว,฿130,ร้านแนะนำ,4.9375,59.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/8df7e54ffad28d87129636ceb5c2aed8_tn,https://shopee.co.th//-GM-กระเทียมโทนดองน้ำผึ้งดอกลำใย-น้ำหนักเนื้อ-230-กรัม-น้ำหนักรวม-600-กรัม-ไร้สารฟอกขาว-i.54833404.2248776224
