num,name,price,type,sold,from,img_src,url
24,ไก่ป๊อป1kg. 💥ค่าส่ง99฿คละได้ทั้งร้าน❗️ ✅ส่งของทุกวัน❄️ราคาถูก ส่งทุกจังหวัดทั่วไทย⚡️,฿125,general,ขายแล้ว 93 ชิ้น,จังหวัดพระนครศรีอยุธยา,https://cf.shopee.co.th/file/27947cd8c5c20259c8e5ce92d9e3745e_tn,https://shopee.co.th//ไก่ป๊อป1kg.-💥ค่าส่ง99฿คละได้ทั้งร้าน❗️-✅ส่งของทุกวัน❄️ราคาถูก-ส่งทุกจังหวัดทั่วไทย⚡️-i.64528500.7551509101
25,หนังไก่ทอด ไก๋ไก่ รสดั้งเดิม มีฮาลาล / 3 ซอง,฿100,general,ขายแล้ว 130 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/05be748006f9f16c146d0784b052eeb5_tn,https://shopee.co.th//หนังไก่ทอด-ไก๋ไก่-รสดั้งเดิม-มีฮาลาล-3-ซอง-i.65713477.4536931696
26,พร้อมทาน* ปีกไก่แดดเดียว อบลมร้อน นุ่ม อร่อย,฿150 - ฿155,general,ขายแล้ว 42 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/b811c8c38293d39538659b6ed43d477d_tn,https://shopee.co.th//พร้อมทาน*-ปีกไก่แดดเดียว-อบลมร้อน-นุ่ม-อร่อย-i.272617475.6872433983
27,Tyson นักเก็ตไก่มินิ Chicken mini nuggets (500 g),฿116,shopee mall,ขายแล้ว 497 ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/c56ae74a69b65351da4899cdae5bd1d1_tn,https://shopee.co.th//Tyson-นักเก็ตไก่มินิ-Chicken-mini-nuggets-(500-g)-i.242496057.4633491011
28,ไส้กรอกรมควันหนังกรอบ ไส้กรอกไก่  ใหม่ สด สะอาด 500กรัม แถมฟรี2ชิ้นในถุง,฿89,ร้านแนะนำ,ขายแล้ว 13 ชิ้น,จังหวัดพระนครศรีอยุธยา,https://cf.shopee.co.th/file/827539dc27fb3d580d4711107240075b_tn,https://shopee.co.th//ไส้กรอกรมควันหนังกรอบ-ไส้กรอกไก่-ใหม่-สด-สะอาด-500กรัม-แถมฟรี2ชิ้นในถุง-i.212204732.5053299533
29,ไก่มงคล ไก่เงินไก่ทอง นำไปถวายไอ้ไข่ หรือ ตั้งเป็นสิริมงคล (ขายเป็นคู่),฿29,general,ขายแล้ว 406 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/7b4f6e742f7873f9f6dd581893de20cf_tn,https://shopee.co.th//ไก่มงคล-ไก่เงินไก่ทอง-นำไปถวายไอ้ไข่-หรือ-ตั้งเป็นสิริมงคล-(ขายเป็นคู่)-i.269854167.4255604316
30,Tyson สเต็กไก่ปรุงรส สูตรต้นตำรับ Roasted chicken steak 450 g,฿143,shopee mall,ขายแล้ว 550 ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/a8a05ad8400ae62c69ce6b06ac9864b6_tn,https://shopee.co.th//Tyson-สเต็กไก่ปรุงรส-สูตรต้นตำรับ-Roasted-chicken-steak-450-g-i.242496057.6733606752
31,ก๋วยเตี๋ยวไก่มะระ (พร้อมมะระอบแห้งในซอง),฿34,general,ขายแล้ว 364 ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/a7be11935cca1b08e1677b9b0bf6f22f_tn,https://shopee.co.th//ก๋วยเตี๋ยวไก่มะระ-(พร้อมมะระอบแห้งในซอง)-i.268536054.5644473504
32,สุ่มไก่ ถวายไอ้ไข่ ไม้ไผ่สาร,฿49,ร้านแนะนำ,ขายแล้ว 660 ชิ้น,จังหวัดพิษณุโลก,https://cf.shopee.co.th/file/9e63c5e48c8931379cbf238abab74389_tn,https://shopee.co.th//สุ่มไก่-ถวายไอ้ไข่-ไม้ไผ่สาร-i.196146882.4860144599
33,ไก่แก้บนไอ้ไข่ คู่ละ45บาทแถมฟรี!!ธูปไอ้ไข่รวยทรัพย์ รูปปั้นไก่แก้บน ไก่แก้บนพระนเรศวร,฿45,general,ขายแล้ว 22 ชิ้น,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/eb732a737ad15e6acd35fc9a6952928f_tn,https://shopee.co.th//ไก่แก้บนไอ้ไข่-คู่ละ45บาทแถมฟรี!!ธูปไอ้ไข่รวยทรัพย์-รูปปั้นไก่แก้บน-ไก่แก้บนพระนเรศวร-i.35762492.3360755026
34,ขนมปังปิ๊บ กิเลน ขาไก่รสทรงเครื่อง น้ำหนัก 400 กรัม 1 ปิ๊ป โรงงานขายตรง,฿59,ร้านแนะนำ,ขายแล้ว 25 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/e2d7b29ad7763f24db1fd66293f179f4_tn,https://shopee.co.th//ขนมปังปิ๊บ-กิเลน-ขาไก่รสทรงเครื่อง-น้ำหนัก-400-กรัม-1-ปิ๊ป-โรงงานขายตรง-i.34898806.2347000856
35,ไก่ดำแท้​ 100% สดสะอาด ถูกหลักอนามัย ส่งแล้วกว่า​120ตัว​ ขนาด​400/630/800 กรัม​+เครื่องใน ครบทั้งตัวใช้ไหว้ได้🙏🙏🙏,฿245 - ฿479,general,ขายแล้ว 186 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/d4fb107c3cdd69767377c0e3df22b0b9_tn,https://shopee.co.th//ไก่ดำแท้​-100-สดสะอาด-ถูกหลักอนามัย-ส่งแล้วกว่า​120ตัว​-ขนาด​400-630-800-กรัม​-เครื่องใน-ครบทั้งตัวใช้ไหว้ได้🙏🙏🙏-i.29333006.7139443473
36,น้ำสต๊อกไก่ 200มล. [ซีพี] เรื่องน้ำซุป แค่ซีกซองอร่อยง่ายได้ความเข้มข้น,฿45,general,ขายแล้ว 244 ชิ้น,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/1e9bf9dd0a4288b08eaedeb1487ff955_tn,https://shopee.co.th//น้ำสต๊อกไก่-200มล.-ซีพี-เรื่องน้ำซุป-แค่ซีกซองอร่อยง่ายได้ความเข้มข้น-i.292105783.5952272382
37,นักเก็ตไก่ 1000 กรัม  Sun Valley,฿110,general,ขายแล้ว 171 ชิ้น,จังหวัดลพบุรี,https://cf.shopee.co.th/file/529bc3d24332a409a9a63bef2e772ad4_tn,https://shopee.co.th//นักเก็ตไก่-1000-กรัม-Sun-Valley-i.22776440.6945566394
38,ตีนไก่ดอง ตีนไก่ดองพริกเจ้าดังโหยวโหย่ว 有友 泡椒凤爪🌶 น่าทานมาก80/ 100 กรัม ตีนไก่ที่แบมแบม got7 ชอบมาก,฿49,ร้านแนะนำ,ขายแล้ว 284 ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/88f0ceff75009666dd8b00ea8aebe5c9_tn,https://shopee.co.th//ตีนไก่ดอง-ตีนไก่ดองพริกเจ้าดังโหยวโหย่ว-有友-泡椒凤爪🌶-น่าทานมาก80-100-กรัม-ตีนไก่ที่แบมแบม-got7-ชอบมาก-i.6585824.4634669558
39,นักเก็ตไก่ ซันเวลเล่ย์ 1000 กรัม ทอด กรอบนอกนุ่มใน หอม อร่อย,฿149,general,ขายแล้ว 76 ชิ้น,จังหวัดนครราชสีมา,https://cf.shopee.co.th/file/256edd8b4bed6118088175c24338da57_tn,https://shopee.co.th//นักเก็ตไก่-ซันเวลเล่ย์-1000-กรัม-ทอด-กรอบนอกนุ่มใน-หอม-อร่อย-i.55593340.3934138673
40,มินิไก่ป๊อบ 🐔 1 กิโลกรัม ฮาลาล حلال,฿139,ร้านแนะนำ,ขายแล้ว 22 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/5e7ca5f108fcc1611a5e661e9fe20c0e_tn,https://shopee.co.th//มินิไก่ป๊อบ-🐔-1-กิโลกรัม-ฮาลาล-حلال-i.93971416.8814981656
